text,label
बजार ट्रेन्ड चेन्ज गर्यो हेर्दा प्रोफिट बूकिङ आउने सम्भावना रहेन भोलि ट्रेन्ड समात्न सक्ने अबस्था दरो,2
1000 अंकले घटेको नेप्से 200 अंकले बढ्नु ठूलो कुरो किन्ने अवसर है,1
सानिमा बैंक बोनस घोसणा २ महिना भयो किताब अहिले खातामा आउदैन ब्याज दिने योजना रहेछ क्या,2
खैँ कित्तामा रू 10 बढेर आज रू 1100 भयो 10कित्ताको,2
राम्रो भयो️️,1
मध्यभोटेकोशिको शेयर कर्मचारी संञ्चयकोष संञ्चयकर्ताहरुको नाममा परेको शेयर कहिले शेयरमा देखाउँछ प्रष्ट पारिदिनु,2
जानकारीको धन्यवाद रामहरी ब्रदर,1
हाईड्रो फाइनान्स बुम बुम भन्न छोडिएछ,2
मुनाफा बुकिंग यत्रो अङ्कको गिरावट नआउनु पर्ने हदसम्म प्यानीक अझ लगानीकर्ताहरू विश्वस्त देखिएन प्यानीक आउने सम्भावना,2
भर्चुअल मिटिङ कहिले दाजु हजुर जानकारी गराउनुस् है,2
२५०० क्रस नगर्ने भयो सर हाई क्याप वाला घट्यो हेर्दा हेर्दौ अलि अलि फाइदा लाष्टमा लस भयो,2
सर,2
सगोत्री बन्दु स्वास्थ ख्याल,2
एनलाइसिस्को एडिक्ट पो भै सकिए नसुनी चितै मान्दैन,2
आज मैले चोटि माध्यमिक बाट कारोबार आजै 4300 चुना लाग्यो,2
सर लामो लगानीगर्दा कस्तो बताइ दिनु,2
मानौ मैले कम्पनी बुक क्लोज 1 दिनअघि किने प्राइज एडजस्मेन्ट बोनस प्राप्त नगर्दै बेचे उक्त कम्पनी बेचिसकेपछि मैले बोनस सेयर प्राप्त गर्दिन गरेमा कति समयमा आउँछ,2
७० करोड घुस प्रकरणमा रिसाए गोकुल बाँस्कोटा गगन विश्वप्रकाशलाई कालापानी चुनौति,2
भारत मधेस नेपाल चीन सम्बन्ध विग्रन्छ मधेसी नेता दलको भरिया डा राजेश अहिराज,0
भीम रावलको खुलासा एमाले छोडेर दल खोल्ने एमसीसी पढ्न देउवालाई आग्रह पारित गरे दुर्घटना,2
राजनीतिक स्वार्थ लहडमा जथाभावी विमानस्थल बनाउने होड ग्यालेक्सी समाचार,2
प्रचण्डले खुमलटार छोड्दैः पैदल हिँड्ने झुपडीमा डेरा सर्ने प्रचण्ड यक्षप्रश्न,2
दुर्गा प्रसाईको घोषणा भीम रावलले एमाले छोड्ने ओली महामानव देउवा प्रचण्ड माधबको भण्डाफोर,2
कांग्रेस नेता मिनेन्द्र रिजाललाई यक्ष प्रश्नः सक्रिय राजनीतिबाट विश्राम लिएको डा मिनेन्द्र रिजाल,2
प्रधानमन्त्रीलाई ठूला भ्रष्टाचारको फाईल खोल्न लगाउँछु 1,2
लेखनाथ न्यौपानेको खुलासा महाधिबेशनमा एमसीसीको गर्नेलाई जुत्ताको माला लगाएर कालो मोसो दलिन्छ,0
एमसिसी सन्देह संवाद समाधान 1,2
प्रचण्डलाई यक्ष प्रश्न देउवाको ज्योतिषी छबीलाल,2
गरेपनि एमसीसीले संकट निम्ताउने गेबेट विथ निमेश बन्जाडे सुरेन्द्र पाण्डे 47,0
अर्थमन्त्री शर्माको खुलासा एमसीसी सहमतिमा पारित देउवा प्रचण्ड गठबन्धन निरन्तर माओवादीमा परिवर्तन,2
प्रचण्डको सनसनीपूर्ण खुलासा माधव बाबुराम बैद्य विप्लवसहितको पार्टी बनाउने,2
धुर्मुस रविलाई गाली थाकेनन् हेम थापा 65,2
सीपी गजुरेलको खुलासा प्रचण्डसँग एकताका प्रस्ताव बैद्य बाबुराम बिप्लवले गर्लान,2
ओलीसँग अध्यक्षमा पराजित भएका भीम रावलको अन्तरवार्ता पार्टीभित्र हदसम्मको षड्यन्त्र भयो,2
भ्रस्टाचारि येति घमण्ड ७० करोड पर्दाफास हुदा येति आत्मबल् ठुलो अनुहार,0
गोकुले भन्न बितिकै ७० करोड याद आउँछ ७० करोड ७० करोड,2
ब्याकह्यान्ड अनुक्रमणिका दायाँ देखाउँदै ️ ७० करोडको कति चुरिफुरी थुक्क देशका नैतिकता नभका चोर नेताहरू क्रोधित अनुहार क्रोधित अनुहार,0
ल्याको यसलाई सत्तरी करोडको अनुहार मन,2
सुकै भनेपनि गोकुल बास्कोटा काभ्रेको बाद्साह उठाएको मुट्ठी उठाएको मुट्ठी उठाएको मुट्ठी,1
मान्छेको थोप्डा देख्यो खोपडी गरम,0
यस्ता भ्रष्टहरुलाई रोजेर पठाउने जनता कस्ता भन्या,2
कति चुरिफुरी यस्को,2
औषधिमा भ्रष्टाचार महा पापी,0
मन नपर्ने मान्छेलाई बहिस्कार आएको येस्ता भ्रस्टाचारी नेताहरु सामाजिक संजालबाट सधैको बहिस्कार गरओ,0
गोकुलजीले भनिसके भ्रस्टाचार रहेछ भन्नेहरुकै सबथोक छानबिन प्रमाणिात देखाए भइहाल्यो,1
बोलेको 70 संसद विगठन अवस्थाको जड बिर्सेकाे,2
स्वच्छ असल राजनीति,1
समृद्ध नेपाल निर्माण नेपाल नेपाल,1
पास गठबन्धन जोगाउनको निमित्त मुखमा प्रतीकहरू अनुहार क्रोधित अनुहार ठुलो अनुहार,2
भ्रष्टाचारिलाई अन्तरबार्ता लिएको,0
चोरले चोर कदापि भन्दैन लाज पचेको ७० करोड वलिको पुच्छरको चुरिफुरी देख्दा उदेक लाग्छ,0
विना स्वार्थ लोभ लालच कम्युनिस्ट एकता जरुरी देशका,1
गोकुल काकालाई मान्नैपर्छ बा ७० करोडको टेप नक्कली रे दिउसै रात पार्ने मान्छेहरुको बोलबाल देशमा कति लाजै नमानी भन्न सकेको,0
७० करोड चोर आफु चोर राजिनामा सुरुक्क देको त् माग्ने बेलामा ७० करोड माग्ने चोर अईले आएर नकली भोइस रे,0
नेपाली समाज हुइयाॅको पछाडी दौडने समाजबाट कहिले उठ्ने,0
70 करोड कता कता लगानी भयो जानकारी पाईन्छकी,2
यिनले प्रश्न उठे पछी राजिनामा दियो रे नैतिकता देखायो साची यिनी सहि रहेछन् यिनका पि नैतिक्ता बेचेकै रहेछ कुरो यिनैले प्रमानित गरेछन््,0
धन्यवाद हात जोडेको,1
100 खाकोई 70 करोड छाती थोकेर किनकी खाली पुस्ती गर पुस्ती गर भन्छ,0
